one,two,three,four,target
5.124835707650561,3.4930867849414406,1.4323844269050345,0.2761514928204013,0
4.888292331263834,2.988293152152541,1.4789606407753695,0.23837173645764545,0
4.676526280703253,3.2271280021792985,1.276829115359377,0.17671351232148716,0
4.612098113578301,3.004335988,1.4137541083743483,0.17188562353795137,0
4.949358443983279,3.6157123666297637,1.3545987962239394,0.12938481493323545,0
5.473282438446078,3.8887111849756733,1.7033764102343962,0.32876259068932717,0
4.572780864,3.405546129485493,1.3424503211288847,0.31878490091728356,0
4.969968066,3.385415312510336,1.469914669,0.2926139092254469,0
4.399325138763103,2.847114453552205,1.4411272456051594,0.1389578175014489,0
4.910443179750238,3.0020164938060114,1.4335906975550785,0.10984306179345618,0
5.436923328999771,3.7085684140594988,1.494217585880588,0.18494481522053557,0
4.726073900481628,3.3640077895802647,1.5769680614520107,0.2528561113109458,0
4.817180914478423,2.911847992231863,1.4162041984697398,0.080745886,0
4.266153899984702,3.0305838144420436,1.1515499761247976,0.14656400595580993,0
5.758039123838868,3.9845393812074392,1.2165631715701781,0.24877725635611797,0
5.676041288107736,4.390717051,1.4446832512996985,0.34018966879596646,0
5.4406262911197105,3.967812001428541,1.2963994939209833,0.45017664489460124,0
5.118081801252381,3.4677440122697436,1.4180697802754205,0.37690182832329844,0
5.698208698044502,3.878232183,1.5690127447955127,0.3410951252187612,0
5.104352353411908,3.7850496324767064,1.5045880388267752,0.20062155426995534,0
5.389016405608125,3.4178556285755874,1.7738947022370757,0.17408648908631763,0
5.05957532,3.6749121478207734,1.5457701058851037,0.4164375554829842,0
4.573511989811648,3.625663371655668,1.004853877467402,0.24843224952664447,0
5.064897345306132,3.2836168926701115,1.680394592343392,0.42682425259339407,0
4.814806013853229,3.4130527636089942,1.900255672832123,0.18827064333124266,0
4.929231462897479,2.978967733861732,1.5828642741736616,0.15988613653891906,0
4.991935714,3.420202542840727,1.6943092950605265,0.40872889064159196,0
5.212877519536138,3.4962777042116917,1.404061439235048,0.19867430622753918,0
5.203011510497052,3.523162105624264,1.3903819517609437,0.21507736711668063,0
4.698264411514738,3.1415660981190237,1.657141140725751,0.2375966516343387,0
4.839551597352152,3.054530627260263,1.670139715546805,0.12990744686038597,0
5.429342854690014,3.509522781290499,1.4504731837434657,0.37168511351986144,0
5.204982568254382,4.074826217,1.4224668284466935,0.10342814874030137,0
5.4468848143136945,4.223679621531759,1.3540287882883097,0.27749672,0
4.860837335383189,3.0838969241897165,1.5406758608684834,0.13845678417830226,0
5.0113729967302065,3.2653571377141217,1.1196258382719386,0.20923169292661523,0
5.512994139712421,3.5390911435888657,1.238152464456096,0.13397716934578618,0
4.926097078280845,3.6148492336616593,1.4125246425172937,0.11732241047484879,0
4.365998763921076,3.0116126848580502,1.3146536236649342,0.16428242909868163,0
5.193288725557237,3.4236916460455893,1.4404348251398675,0.2328276804316915,0
4.951265916488634,3.5393542301871226,1.3579297789503701,0.25896588408241444,0
4.548168806462216,2.320639046346825,1.3411030079997246,0.39483964913269737,0
4.387730594199857,3.162313191782126,1.255524278518724,0.1592094857517281,0
4.996144914529295,3.5170575987408323,1.613834539966501,0.6413591624518011,0
5.100650094593895,3.8726767038578656,1.886767158338102,0.536008458,0
4.8312833673882505,2.957142122179186,1.3464553750969444,0.3241236207621593,0
5.0888268607337075,3.8357000247046042,1.6236618812286774,0.19635855436715638,0
4.557660314096579,3.124257638765707,1.3776742523966488,0.24281993971617363,0
5.310704687,3.637713061064401,1.508659046292559,0.21926586898644185,0
4.955807128189943,3.307686255297276,1.402910436,0.14285148510846885,0
7.017889368017414,3.228039226318412,4.754152562158764,1.4526901026017451,1
6.331116531602146,3.153108748004244,4.525751763360433,1.5256892975456104,1
6.925752384315302,3.292636574532736,4.928544525534659,1.556778282,1
5.547700088,2.332569563,3.9842365377679827,1.3379484610246635,1
6.4613587392731215,2.788159069662999,4.575731822608544,1.504093706969316,1
5.815732928333675,2.7066367403704126,4.534313009518725,1.2193642064405175,1
6.2764034067105285,3.3544475298483682,4.703214000954773,1.5461127611035348,1
4.864234814537002,2.4339798874467338,3.2634816684141428,1.0108229294790987,1
6.602278591995191,2.867419982619709,4.707197204466266,1.3316959511159006,1
5.098742870667119,2.7093227157384714,3.8669106767615804,1.442621666739811,1
4.960373963078365,1.994263177926655,3.525249363949023,1.0432877597085062,1
