Re_x,Nu_laminar,Nu_turbulent,Cf_laminar,Cf_turbulent,Re_critical_at_x_cr
10000,29.618123062795075,,0.01328,,500000
60201.005025125625,72.67071013134924,,0.005412479,,500000
110402.01005025125,98.411539,,0.003996774,,500000
160603.01507537687,118.69553447985314,,0.003313761,,500000
210804.0201005025,135.98686996430837,,0.002892402,,500000
261005.02512562813,151.31499496058356,,0.002599403,,500000
311206.03015075374,165.22719690521032,,0.002380532,,500000
361407.03517587937,178.05568088209048,,0.002209021,,500000
411608.0402,190.0200631291774,,0.002069932,,500000
461809.04522613063,201.27449736329805,,0.00195419,,500000
512010.05025125627,,975.2903998134597,,0.004154959,500000
562211.0552763819,,1051.0676407678254,,0.004077957,500000
612412.0603015075,,1125.501682,,0.004008794,500000
662613.0653266332,,1198.7238787723857,,0.003946122,500000
712814.0703517587,,1270.8437915473446,,0.003888904,500000
763015.0753768844,,1341.9540815471478,,0.003836329,500000
813216.0804,,1412.1340557043125,,0.00378775,500000
863417.0854271356,,1481.4522955471898,,0.003742643,500000
913618.0904522613,,1549.9686458255633,,0.003700578,500000
963819.0954773868,,1617.7357454952014,,0.003661199,500000
1014020.1005025125,,1684.8002247298173,,0.003624208,500000
1064221.1055276382,,1751.2036537377967,,0.003589352,500000
1114422.1105527638,,1816.9833041213924,,0.003556416,500000
1164623.1155778894,,1882.1727665855553,,0.003525213,500000
1214824.120603015,,1946.8024571192232,,0.003495584,500000
1265025.1256281405,,2010.9000355582962,,0.00346739,500000
1315226.1306532663,,2074.490754568773,,0.003440507,500000
1365427.135678392,,2137.597752828374,,0.003414828,500000
1415628.1407035175,,2200.2423030505824,,0.003390257,500000
1465829.145728643,,2262.444023159524,,0.003366711,500000
1516030.1507537689,,2324.221057163461,,0.003344113,500000
1566231.1557788944,,2385.590230933071,,0.003322395,500000
1616432.161,,2446.5671870581377,,0.003301498,500000
1666633.1658291456,,2507.1665021541803,,0.003281365,500000
1716834.1708542712,,2567.4017893621594,,0.003261946,500000
1767035.175879397,,2627.2857882880153,,0.003243198,500000
1817236.1809045225,,2686.8304442337935,,0.003225078,500000
1867437.185929648,,2746.046978255561,,0.003207549,500000
